wals_code,iso_code,glottocode,name,lat,lon,genus,family,subfamily
ttb,tat,tata1255,Tatar (Baraba),55.3333333333,78.3333333333,Turkic,Altaic,__
ttd,tet,tetu1245,Tetun Dili,-8.58333333333,125.583333333,Central Malayo-Polynesian,Austronesian,__
tte,tta,tute1247,Tutelo,37.6666666667,-78.75,Siouan,Siouan,__
ttn,tet,tetu1245,Tetun,-9.0,126.0,Central Malayo-Polynesian,Austronesian,__
tts,tks,take1255,Tati (Southern),36.0,49.6666666667,Iranian,Indo-European,__
ttu,bbl,bats1242,Tsova-Tush,42.5,45.5,Nakh,Nakh-Daghestanian,__
tty,tav,tatu1247,Tatuyo,0.416666666667,-70.5,Tucanoan,Tucanoan,__
tua,pmt,tuam1242,Tuamotuan,-17.0,-144.0,Oceanic,Austronesian,Eastern Malayo-Polynesian
tub,tbu,tuba1279,Tubar,27.0,-108.0,Tubar,Uto-Aztecan,__
tuc,tuo,tuca1252,Tucano,0.5,-69.1666666667,Tucanoan,Tucanoan,__
tug,thv,taha1241,Tuareg (Ahaggar),23.0,6.0,Berber,Afro-Asiatic,__
tui,tsm,turk1288,Türk Isaret Dili,39.0,34.0,Sign Languages,other,__
tuk,bhq,tuka1247,Tukang Besi,-5.5,123.5,Celebic,Austronesian,__
tul,tcy,tulu1258,Tulu,12.75,75.3333333333,Southern Dravidian,Dravidian,__
tum,tmq,tuml1238,Tumleo,-3.08333333333,142.416666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
tun,tun,tuni1252,Tunica,32.6666666667,-91.0,Tunica,Tunica,__
tup,_49,,Tupi,-6.0,-36.0,Tupi-Guaraní,Tupian,__
tur,tur,nucl1301,Turkish,39.0,35.0,Turkic,Altaic,__
tus,tus,tusc1257,Tuscarora,36.0,-77.5,Northern Iroquoian,Iroquoian,__
tut,ttm,nort2941,Tutchone (Northern),63.0,-137.0,Athapaskan,Na-Dene,__
tuv,tyv,tuvi1240,Tuvan,52.0,95.0,Turkic,Altaic,__
tuy,tue,tuyu1244,Tuyuca,0.5,-70.0833333333,Tucanoan,Tucanoan,__
tvl,tvl,tuva1244,Tuvaluan,-8.5,179.166666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
tvo,tat,tata1255,Tatar,56.0,49.5,Turkic,Altaic,__
tvt,tvt,tuts1235,Tutsa,27.5,96.5,Northern Naga,Sino-Tibetan,Tibeto-Burman
twa,twa,twan1247,Twana,47.6666666667,-122.75,Central Salish,Salishan,__
twe,tac,lowl1265,Tarahumara (Western),27.5,-108.0,Tarahumaran,Uto-Aztecan,__
twn,twf,nort1550,Tiwa (Northern),36.5,-105.5,Kiowa-Tanoan,Kiowa-Tanoan,__
tws,tix,sout2961,Tiwa (Southern),35.0,-106.333333333,Kiowa-Tanoan,Kiowa-Tanoan,__
twx,kmz,khor1269,Turkic (West Xorasan),36.6666666667,56.0,Turkic,Altaic,__
txj,too,xico1235,Totonac (Xicotepec de Juárez),20.4166666667,-97.8333333333,Totonacan,Totonacan,__
tye,woa,tyar1236,Tyeraity,-13.0,130.333333333,Northern Daly,Australian,Daly
tza,tzh,tzel1254,Tzeltal (Aguacatenango),16.4166666667,-92.5,Mayan,Mayan,__
tzb,tzb,tzel1255,Tzeltal (Bachajón),16.9166666667,-92.0,Mayan,Mayan,__
tze,tzb,tzel1253,Tzeltal,16.8333333333,-92.25,Mayan,Mayan,__
tzi,tss,taiw1241,Taiwanese Sign Language (Ziran Shouyu),24.0,121.0,Sign Languages,other,__
tzo,tzc,tzot1262,Tzotzil,16.5,-92.6666666667,Mayan,Mayan,__
tzs,tzs,tzot1260,Tzotzil (San Andrés),17.0,-92.8333333333,Mayan,Mayan,__
tzt,tzh,tzel1254,Tzeltal (Tenejapa),16.6666666667,-92.3333333333,Mayan,Mayan,__
tzu,tzj,cakc1244,Tzutujil,14.6666666667,-91.3333333333,Mayan,Mayan,__
tzz,tzz,tzot1264,Tzotzil (Zinacantán),16.8333333333,-92.8333333333,Mayan,Mayan,__
uby,uby,ubyk1235,Ubykh,43.6666666667,39.6666666667,Northwest Caucasian,Northwest Caucasian,__
udh,ude,udih1248,Udihe,47.6666666667,136.25,Tungusic,Altaic,__
udi,udi,udii1243,Udi,41.0,48.0,Lezgic,Nakh-Daghestanian,Daghestanian
udm,udm,udmu1245,Udmurt,57.5,52.5,Permic,Uralic,Finno-Ugric
ugs,ugn,ugan1238,Ugandan Sign Language,1.0,32.5,Sign Languages,other,__
uhi,urf,urad1239,Uradhi,-11.9166666667,142.416666667,Pama-Nyungan,Australian,__
ukr,ukr,ukra1253,Ukrainian,49.0,33.0,Slavic,Indo-European,__
uku,kuu,uppe1438,Upper Kuskokwim,63.0,-157.0,Athapaskan,Na-Dene,__
ulc,ulc,ulch1241,Ulcha,52.25,140.333333333,Tungusic,Altaic,__
uld,udl,wuzl1236,Uldeme,10.95,14.1166666667,Biu-Mandara,Afro-Asiatic,Chadic
uli,uli,ulit1238,Ulithian,9.91666666667,139.583333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
uma,ppk,umaa1242,Uma,-1.83333333333,120.0,Celebic,Austronesian,__
umb,umb,umbu1257,UMbundu,-12.5,15.0,Bantoid,Niger-Congo,Benue-Congo
ump,ump,umpi1239,Umpila,-13.5,143.5,Pama-Nyungan,Australian,__
umu,cbd,cari1279,Umaua,1.0,-72.0,Cariban,Cariban,__
una,mtg,unaa1239,Una,-4.66666666667,140.0,Mek,Trans-New Guinea,__
ung,ung,ngar1284,Ungarinjin,-16.3333333333,126.0,Wororan,Australian,__
unm,unm,unam1242,Unami,40.0,-75.1666666667,Algonquian,Algic,__
ura,uur,urav1235,Ura,-18.6666666667,169.083333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
urd,urd,urdu1245,Urdu,25.0,67.0,Indic,Indo-European,__
urh,urh,urho1239,Urhobo,5.58333333333,6.0,Edoid,Niger-Congo,Benue-Congo
uri,uri,urim1252,Urim,-3.58333333333,142.666666667,Urim,Torricelli,__
urk,urb,urub1250,Urubú-Kaapor,-2.33333333333,-46.5,Tupi-Guaraní,Tupian,__
url,urk,urak1238,Urak Lawoi',8.0,98.3333333333,Malayo-Sumbawan,Austronesian,__
urm,uum,urum1249,Urum,47.1166666667,37.55,Turkic,Altaic,__
urn,ura,urar1246,Urarina,-4.5,-75.5,Urarina,Urarina,__
urt,urt,urat1244,Urat,-3.66666666667,142.833333333,Wapei-Palei,Torricelli,__
uru,ure,uruu1244,Uru,-16.75,-69.0,Uru-Chipaya,Uru-Chipaya,__
usa,wnu,usan1239,Usan,-4.83333333333,145.166666667,Madang,Trans-New Guinea,__
usl,uks,urub1243,Urubú Sign Language,-2.33333333333,-46.0,Sign Languages,other,__
usr,usa,usar1243,Usarufa,-6.41666666667,145.583333333,Eastern Highlands,Trans-New Guinea,__
ute,ute,utes1238,Ute,39.0,-109.0,Numic,Uto-Aztecan,__
uyg,uig,uigh1240,Uyghur,40.0,80.0,Turkic,Altaic,__
uzb,uzn,uzbe1247,Uzbek,39.0,66.0,Turkic,Altaic,__
uzn,uzn,nort2690,Uzbek (Northern),40.6666666667,66.5,Turkic,Altaic,__
vaf,vaf,vafs1240,Vafsi,34.6666666667,49.9166666667,Iranian,Indo-European,__
vag,vag,vagl1239,Vagla,9.41666666667,-2.41666666667,Gur,Niger-Congo,__
vai,vai,vaii1241,Vai,6.91666666667,-11.25,Western Mande,Niger-Congo,Mande
vas,vas,vasa1239,Vasavi,24.5,71.5,Indic,Indo-European,__
vat,dic,lako1244,Vata,5.83333333333,-5.41666666667,Kru,Niger-Congo,__
ved,ved,vedd1240,Vedda,7.0,81.0,Indic,Indo-European,__
ven,ven,vend1245,Venda,-22.0,30.0,Bantoid,Niger-Congo,Benue-Congo
vep,vep,veps1250,Veps,60.0,35.0,Finnic,Uralic,Finno-Ugric
vie,vie,viet1252,Vietnamese,10.5,106.5,Viet-Muong,Austro-Asiatic,Mon-Khmer
vif,vif,vili1238,Vili,-5.5,14.0,Bantoid,Niger-Congo,Benue-Congo
vka,vka,kari1304,Kariera,-20.5,118.5,Pama-Nyungan,Australian,__
vla,bvs,vlaa1235,Vlaamse Gebarentaal,51.0,4.0,Sign Languages,other,__
vnm,vnm,vinm1237,Vinmavis,-16.1666666667,167.416666667,Oceanic,Austronesian,Eastern Malayo-Polynesian
vot,vot,voti1245,Votic,59.5,30.0,Finnic,Uralic,Finno-Ugric
wag,waq,wage1238,Wagiman,-14.0,131.25,Wagiman,Australian,Gunwinyguan
wah,wgi,wahg1249,Wahgi,-5.83333333333,144.716666667,Chimbu,Trans-New Guinea,__
wai,waw,waiw1244,Wai Wai,1.0,-59.0,Cariban,Cariban,__
wak,wbl,wakh1245,Wakhi,36.5,72.0,Iranian,Indo-European,__
wal,van,valm1241,Walman,-3.21666666667,142.5,Wapei-Palei,Torricelli,__
wam,wmb,wamb1258,Wambaya,-18.6666666667,135.75,West Barkly,Australian,__
wan,nbx,ngur1261,Wangkumara,-27.3333333333,143.0,Pama-Nyungan,Australian,__
wao,auc,waor1240,Waorani,-1.0,-76.5,Waorani,Waorani,__
wap,wao,wapp1239,Wappo,38.5,-122.5,Wappo,Wappo-Yukian,__
war,pav,wari1268,Wari',-11.3333333333,-65.0,Chapacura-Wanham,Chapacura-Wanham,__
was,was,wash1253,Washo,39.25,-120.0,Washo,Washo,__
wat,wbv,waja1257,Watjarri,-26.0,117.5,Pama-Nyungan,Australian,__
wau,noa,woun1238,Waunana,4.0,-77.0,Choco,Choco,__
way,oym,waya1270,Wayampi,1.0,-52.0,Tupi-Guaraní,Tupian,__
wbn,wms,wamb1259,Wambon,-5.5,140.416666667,Awju-Dumut,Trans-New Guinea,__
wbt,wbt,wanm1242,Wanman,-22.0,123.0,Pama-Nyungan,Australian,__
