"lab.name","lab.genus","lab.family","lab.subfamily","lab.lat","lab.lon","lab.iso"
"Isoko","Edoid","Niger-Congo","Benue-Congo","5.5","6.25","'iso'"
"Atsugewi","Palaihnihan","Hokan","__","40.75","-121","'atw'"
"International Sign","Sign Languages","other","__","40","-170","'_17'"
"I'saka","Krisa","Skou","__","-2.83333333333","141.283333333","'ksi'"
"Isekiri","Defoid","Niger-Congo","Benue-Congo","5.66666666667","5.5","'its'"
"Nhanda","Pama-Nyungan","Australian","__","-27","114.166666667","'_47'"
"Nahuatl (Central)","Aztecan","Uto-Aztecan","__","19","-98.25","'nhn'"
"Nahuatl (Michoacn)","Aztecan","Uto-Aztecan","__","18.5","-103","'ncl'"
"Nahuatl (North Puebla)","Aztecan","Uto-Aztecan","__","20","-98.25","'ncj'"
"Nahuatl (Huasteca)","Aztecan","Uto-Aztecan","__","22","-99","'nhe'"
"Kirghiz (Fu-Yu)","Turkic","Altaic","__","47.75","124.416666667","'kir'"
"Nahuatl (Huauchinango)","Aztecan","Uto-Aztecan","__","20.1666666667","-98.0833333333","'_49'"
"Nahuatl (Tetelcingo)","Aztecan","Uto-Aztecan","__","19.6666666667","-99","'nhg'"
"Koromfe","Gur","Niger-Congo","__","14.25","-0.916666666667","'kfz'"
"Kriol (Fitzroy Crossing)","Creoles and Pidgins","other","__","-18.1666666667","125.583333333","'_23'"
"Nahuatl (Xalitla)","Aztecan","Uto-Aztecan","__","18","-99.5","'ngu'"
"Tonga (in Zambia)","Bantoid","Niger-Congo","Benue-Congo","-17","27","'toi'"
"Xiamen","Chinese","Sino-Tibetan","__","24.5","118.166666667","'nan'"
"Tanna (Southwest)","Oceanic","Austronesian","Eastern Malayo-Polynesian","-19.5666666667","169.333333333","'nwi'"
"Tasmanian (Oyster Bay to Pitwater)","Tasmanian","Tasmanian","__","-42.5","147.75","'_88'"
"Toratn","Sulawesi","Austronesian","__","1.08333333333","124.833333333","'rth'"
"Totonac (Sierra)","Totonacan","Totonacan","__","19.9166666667","-97.4166666667","'tos'"
"Toqabaqita","Oceanic","Austronesian","Eastern Malayo-Polynesian","-8.41666666667","160.583333333","'mlu'"
"Pisa","Awju-Dumut","Trans-New Guinea","__","-5.16666666667","139.166666667","'psa'"
"Toussian (Win)","Gur","Niger-Congo","__","10.8333333333","-4.66666666667","'wib'"
"Totonac (Misantla)","Totonacan","Totonacan","__","19.9166666667","-96.9166666667","'tlc'"
"Toussian","Gur","Niger-Congo","__","11","-4.66666666667","'wib'"
"Tojolabal","Mayan","Mayan","__","16.3333333333","-91.5","'toj'"
"Tarok","Platoid","Niger-Congo","Benue-Congo","9","10.0833333333","'yer'"
"Tonkawa","Tonkawa","Tonkawa","__","30.25","-96.75","'tqw'"
"Nitinaht","Southern Wakashan","Wakashan","__","48.6666666667","-124.75","'noo'"
"Tol","Tol","Tol","__","14.6666666667","-87","'jic'"
"Toba","Guaicuruan","Guaicuruan","__","-26.5","-59","'tob'"
"Toaripi","Eleman Proper","Eleman","__","-8.33333333333","146.25","'tqo'"
"Tofa","Turkic","Altaic","__","53.75","98","'kim'"
"Tod","Bodic","Sino-Tibetan","Tibeto-Burman","32.4166666667","77.25","'sbu'"
"Gyarong (Cogtse)","rGyalrong","Sino-Tibetan","Tibeto-Burman","31.5","102","'jya'"
"Guayabero","Guahiban","Guahiban","__","2.83333333333","-72","'guo'"
"Jabut","Jabut","Jabut","__","-12.25","-62.25","'jbt'"
"New Zealand Sign Language","Sign Languages","other","__","-43","172","'nzs'"
